record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,spc_field,ec_field,ph_field,turbidity_field,ec_lab,ph_lab,tn_mg_l,tp_mg_l,cl_mg_l,hco3_mg_l,so4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l
201012070000_SW01_Coolac,24,2,7/12/2010 0:00,2,3,,,,,,,731,7.17,,,113.98,,22.61,56.98,35.37,27.35,7.88
201012070000_SW02_HoarseLane,25,2,7/12/2010 0:00,2,3,,,,,,,1205,7.95,,,242.86,,34.74,57.07,38.63,162.29,4.88
201012070000_SW03_Cootamundry,26,2,7/12/2010 0:00,2,3,,,,,,,841,7.22,,,276.75,,26.98,63.47,39.22,20.39,7.93
201012070000_SW04_Berthong,27,2,7/12/2010 0:00,2,3,,,,,,,936,7.32,,,262.89,,50.01,100.81,48.01,29.71,12.44
201012070000_SW05_Cunjegong,28,2,7/12/2010 0:00,2,3,,,,,,,628,7.5,,,165.55,,13.66,61.6,25.93,15.44,5.42
201012070000_SW06_Jindalee,29,2,7/12/2010 0:00,2,3,,,,,,,2160,7.8,,,842,,222.24,130.76,172.35,118.3,12.56
201012070000_SW07_RomaniEntry,30,2,7/12/2010 0:00,2,3,,,,,,,402,7.19,,,81.23,,8.07,43.02,15.15,8.63,3.91
201012070000_SW08_SheepStation,31,2,7/12/2010 0:00,2,3,,,,,,,1657,7.17,,,514.69,,28.7,183.09,89.83,45.39,9.36
201012070000_SW09_Bongongolong,32,2,7/12/2010 0:00,2,3,,,,,,,354,7.27,,,81.6,,9.08,31,16.95,13.02,3.5
201012070000_SW11_Glenarchy,34,2,7/12/2010 0:00,2,3,,,,,,,998,7.4,,,280.65,,50.49,103.98,58.51,36.13,12.98
201012070000_SW14_FairviewCreek,37,2,7/12/2010 0:00,2,3,,,,,,,1660,7.94,,,401.43,,54.36,61.14,42.36,24.93,8.94
201012070000_SW15_MuttamaCreek,38,2,7/12/2010 0:00,2,3,,,,,,,858,7.5,,,277.33,,52.57,140.38,85.36,99.68,21.03
201012070000_SW16_BrawlinRoadCreek,39,2,7/12/2010 0:00,2,3,,,,,,,836,7.4,,,200.74,,77.45,61.1,47.85,23.75,12.14
201012070000_SW18_Tarkarella,41,2,7/12/2010 0:00,2,3,,,,,,,395,7.81,,,68.8,,20.3,39.08,12.7,18.21,3.56
201012070000_SW20_Cootamundry12A,43,2,7/12/2010 0:00,2,3,,,,,,,886,7.31,,,317.37,,30.26,103.43,39.61,20.22,8.29
201012070000_SW21_CoolacMingay,44,2,7/12/2010 0:00,2,3,,,,,,,706,7.3,,,171.87,,32.14,55,33.35,31.35,8.08
201012070000_SW22_ArmoursLane,45,2,7/12/2010 0:00,2,3,,,,,,,768,7.4,,,1634.8,,316.29,58.43,35.7,28.54,9.49
201012070000_SW23_BongongolongHeadwater,46,2,7/12/2010 0:00,2,3,,,,,,,203,7.39,,,39.07,,4.54,21.1,7.84,3.41,5.39
201012070000_SW24_YammtreeMid,47,2,7/12/2010 0:00,2,3,,,,,,,290,7.37,,,43.5,,4.55,125.12,145.7,57.88,21.3
201012070000_SW25_BurraCreekNorth,48,2,7/12/2010 0:00,2,3,,,,,,,331,7.47,,,74.15,,9.66,31.06,11.94,5.92,3.22
201012070000_SW26_ReefCreek,49,2,7/12/2010 0:00,2,3,,,,,,,1013,7.76,,,307.86,,44.94,61.24,59.93,49.81,5.59
201012070000_SW27_LongView,50,2,7/12/2010 0:00,2,3,,,,,,,1389,7.56,,,480.71,,101.22,128.89,52.53,93.36,6.81
201012070000_SW28_CullingaCreekEast,51,2,7/12/2010 0:00,2,3,,,,,,,1056,7.75,,,339.12,,53.42,61.76,68.81,55.95,8.4
201012070000_SW29_CullingaCreekMain,52,2,7/12/2010 0:00,2,3,,,,,,,1033,7.78,,,176.94,,29.71,60.16,69.96,54.66,9.59
201012070000_SW30_AthloneNorth,53,2,7/12/2010 0:00,2,3,,,,,,,1740,7.14,,,544.6,,9.89,27.58,18.55,5.85,2.67
201012070000_SW31_AthloneSouth,54,2,7/12/2010 0:00,2,3,,,,,,,1008,7.25,,,207.72,,13.26,123.48,40.24,23.78,12.23
201012070000_SW32_WavehillNorth,55,2,7/12/2010 0:00,2,3,,,,,,,535,7.26,,,62.85,,20.09,36.1,39.12,13.85,13.5
201012070000_SW33_SECootaNorth,56,2,7/12/2010 0:00,2,3,,,,,,,1451,6.85,,,44.52,,5.11,30.61,17,13.16,3.45
201012070000_SW34_BigDam,57,2,7/12/2010 0:00,2,3,,,,,,,128.5,7.73,,,15.22,,3.61,13.06,2.8,1.49,3.47
201012070000_SW35_BradmanOval,58,2,7/12/2010 0:00,2,3,,,,,,,771,6.95,,,207.38,,42.22,59.26,45.2,22.05,16.44
201012070000_SW36_NashsLane,59,2,7/12/2010 0:00,2,3,,,,,,,791,7.24,,,125.48,,35.08,58.76,45.81,21.78,15.93
201102020000_SW01_Coolac,24,2,2/02/2011 0:00,2,3,,,,,,,1990,7.68,,,599.58,,28.14,170.93,90.5,107.17,7.75
201102020000_SW02_HoarseLane,25,2,2/02/2011 0:00,2,3,,,,,,,1343,8.27,,,207.66,,20.1,56.55,39.98,172.02,2.43
201102020000_SW03_Cootamundry,26,2,2/02/2011 0:00,2,3,,,,,,,1394,7.29,,,742.53,,37.93,172.22,58.39,32.4,9.69
201102020000_SW05_Cunjegong,28,2,2/02/2011 0:00,2,3,,,,,,,1655,7.38,,,810.26,,14.43,205.58,58.32,41.32,8.1
201102020000_SW08_SheepStation,31,2,2/02/2011 0:00,2,3,,,,,,,3350,7.47,,,1895.9,,46.73,334.74,234.41,90.88,16.17
201102020000_SW26_ReefCreek,49,2,2/02/2011 0:00,2,3,,,,,,,1740,7.58,,,611.1,,84,125.51,107.25,96.48,4.56
201102030000_SW04_Berthong,27,2,3/02/2011 0:00,2,3,,,,,,,1045,7.75,,,361.62,,44.04,108.73,45.69,26.54,16.5
201102030000_SW26_ReefCreek,49,2,3/02/2011 0:00,2,3,,,,,,,1751,7.4,,,468.91,,64.47,126.93,107.22,97.75,4.54
201102080000_SW03_Cootamundry,26,2,8/02/2011 0:00,2,3,,,,,,,,,,,274.4,,20.93,150.01,55.35,32.91,8.63
201102080000_SW04_Berthong,27,2,8/02/2011 0:00,2,3,,,,,,,,,,,390.82,,91.66,211.53,76.8,65.43,14.5
201102080000_SW05_Cunjegong,28,2,8/02/2011 0:00,2,3,,,,,,,,,,,376.58,,0,218.23,59.53,41.54,8.71
201102080000_SW06_Jindalee,29,2,8/02/2011 0:00,2,3,,,,,,,,,,,406.67,,88.74,145.25,134.02,127.54,6.1
201102080000_SW07_RomaniEntry,30,2,8/02/2011 0:00,2,3,,,,,,,,,,,256.13,,0,151.58,44.19,31.45,7.77
201102080000_SW08_SheepStation,31,2,8/02/2011 0:00,2,3,,,,,,,,,,,1105.84,,0,457.3,309.23,118.41,17.06
201102080000_SW11_Glenarchy,34,2,8/02/2011 0:00,2,3,,,,,,,,,,,517.28,,116.03,301.4,109.66,93.76,11.21
201102080000_SW12_DinyahMixingFresh,35,2,8/02/2011 0:00,2,3,,,,,,,,,,,155.3,,13.6,86.82,40.88,22.84,12.19
201102080000_SW13_Wambidgee,36,2,8/02/2011 0:00,2,3,,,,,,,,,,,411.78,,74.44,217.91,109.97,77.67,10.91
201102080000_SW15_MuttamaCreek,38,2,8/02/2011 0:00,2,3,,,,,,,,,,,422.08,,99.87,231.14,112.55,79.6,10.44
201102080000_SW16_BrawlinRoadCreek,39,2,8/02/2011 0:00,2,3,,,,,,,,,,,306.82,,207.42,217.93,116.93,69.52,12.92
201102080000_SW23_BongongolongHeadwater,46,2,8/02/2011 0:00,2,3,,,,,,,,,,,97.9,,0,53,24.27,19.38,7.32
201102080000_SW24_YammtreeMid,47,2,8/02/2011 0:00,2,3,,,,,,,,,,,121.9,,11,67.05,42.74,47.81,3.89
201102080000_SW25_BurraCreekNorth,48,2,8/02/2011 0:00,2,3,,,,,,,,,,,161.5,,0,86.02,36.49,25.67,5.36
201102080000_SW28_CullingaCreekEast,51,2,8/02/2011 0:00,2,3,,,,,,,,,,,346.31,,82.25,154.44,89.5,122.36,4.91
201102080000_SW35_BradmanOval,58,2,8/02/2011 0:00,2,3,,,,,,,,,,,244.94,,48.87,150.93,58.26,39.38,19.65
201102080000_SW36_NashsLane,59,2,8/02/2011 0:00,2,3,,,,,,,,,,,214.84,,267.28,206.58,109.6,67.62,16.28
201102081315_SW01_Coolac,24,2,8/02/2011 13:15,2,3,,,,,,,1041,7.37,,,255.13,,41.41,99.67,49.43,44.53,9.35
201102081708_SW01_Coolac,24,2,8/02/2011 17:08,2,3,,,,,,,1152,7.91,,,380.79,,59.15,110.17,52.51,50.87,8.92
201102160000_SW02_HoarseLane_AS1,25,3,16/02/2011 0:00,2,3,,,,,,,982,,,,112.43,,13.67,43.21,32.29,107.93,3.47
201102160000_SW02_HoarseLane_AS2,25,3,16/02/2011 0:00,2,3,,,,,,,724,,,,84.62,,10.76,31.05,23.8,78.64,4.17
201102160000_SW02_HoarseLane_AS3,25,3,16/02/2011 0:00,2,3,,,,,,,892,,,,109.17,,12.72,38.27,28.06,98.33,5.4
201102160000_SW02_HoarseLane_AS4,25,3,16/02/2011 0:00,2,3,,,,,,,695,,,,90.77,,11.1,27.23,19.2,78.42,5.09
201102160000_SW02_HoarseLane_AS5,25,3,16/02/2011 0:00,2,3,,,,,,,703,,,,83.04,,9.4,34.51,20.37,72.51,4.69
201102160000_SW02_HoarseLane_AS6,25,3,16/02/2011 0:00,2,3,,,,,,,535,,,,56.91,,6.86,26.15,17.41,51.84,4.18
201102160000_SW02_HoarseLane_AS7,25,3,16/02/2011 0:00,2,3,,,,,,,467,,,,44.67,,6.03,21.69,16.14,42.85,3.66
201102160000_SW02_HoarseLane_AS8,25,3,16/02/2011 0:00,2,3,,,,,,,445,,,,45.17,,6.15,20.76,15.69,41.68,3.52
201102160000_SW02_HoarseLane_AS9,25,3,16/02/2011 0:00,2,3,,,,,,,446,,,,45.57,,6.33,20.93,16.33,43.11,3.4
201102160000_SW02_HoarseLane_AS10,25,3,16/02/2011 0:00,2,3,,,,,,,479,,,,44.8,,6.58,21.06,16.9,45.19,3.38
201102160000_SW02_HoarseLane_AS11,25,3,16/02/2011 0:00,2,3,,,,,,,506,,,,51.85,,7.74,23.24,18.58,48.07,3.79
201102160000_SW02_HoarseLane_AS12,25,3,16/02/2011 0:00,2,3,,,,,,,519,,,,54.98,,7.91,22.89,18.43,50,3.62
