record_id,site_mut,water_type,datetime,src,qc,temp_field,do_percent_field,do_mg_l_field,spc_field,ec_field,ph_field,orp_field,turbidity_field,cl_field,no3_field,nh4_field,nh3_field,notes_field,field_data_complete,ec_lab,ph_lab,turbidity_lab,tn_mg_l,tp_mg_l,notes_lab,lab_data_complete,q_coolac_ml_day,q_berthong_ml_day,q_jindalee_ml_day,q_coolac_temp,q_coolac_spc,q_coolac_ec,flow_data_complete,cl_mg_l,no2_mg_l,no3_mg_l,br_mg_l,hco3_mg_l,so4_mg_l,po4_mg_l,na_mg_l,ca_mg_l,mg_mg_l,k_mg_l,s_mg_l,major_ions_complete,tds_mg_l,p_mg_l,al_mg_l,fe_mg_l,si_mg_l,ic_mg_l,other_ion_and_salt_data_complete,cl_meq_l,no3_meq_l,hco3_meq_l,so4_meq_l,na_meq_l,ca_meq_l,mg_meq_l,k_meq_l,anion_sum,cation_sum,ion_balance,ionic_balance_check,ion_balance_complete
201008121340_SW26_ReefCreek,49,2,12/08/2010 13:40,2,3,9.6,,,320,,8.11,,,,,,,,0,,,,,,,0,,,,,,,0,68.06,,,,,5.42,,42.85,20.11,17.81,5.8,3.84,0,,0.1,,,,123.11,0,1.92,,,0.11,1.86,1,1.47,0.15,2.03,4.48,38,,0
201008121350_SW27_LongView,50,2,12/08/2010 13:50,2,3,11,,,450,,8.7,,,,,,,,0,,,,,,,0,,,,,,,0,85.85,,,,,13.48,,57.38,29.24,28.9,7.07,6.94,0,,0.1,,,,172.38,0,2.42,,,0.28,2.5,1.46,2.38,0.18,2.7,6.52,41,,0
201008121400_SW13_Wambidgee,36,2,12/08/2010 14:00,2,3,9.6,,,182,,8,,,,,,,,0,,,,,,,0,,,,,,,0,37.73,,,,,5.08,,24.31,8.76,5.69,5.22,3.29,0,,0.08,,,,58.48,0,1.06,,,0.11,1.06,0.44,0.47,0.13,1.17,2.1,28,,0
201008121415_SW09_Bongongolong,32,2,12/08/2010 14:15,2,3,9.8,,,99,,8.1,,,,,,,,0,,,,,,,0,,,,,,,0,17.51,,,,,0,,12.9,5.1,3.83,3.1,1.42,0,,0.05,,,,45.05,0,0.49,,,0,0.56,0.25,0.32,0.08,0.49,1.21,42,,0
201008121430_SW18_Tarkarella,41,2,12/08/2010 14:30,2,3,10.3,,,80,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,8.95,,,,,0,,10.02,3.49,5.23,2.11,1.85,0,,0.04,,,,53.39,0,0.25,,,0,0.44,0.17,0.43,0.05,0.25,1.09,63,,0
201008121440_SW22_ArmoursLane,45,2,12/08/2010 14:40,2,3,9.4,,,185,,7.75,,,,,,,,0,,,,,,,0,,,,,,,0,41.78,,,,,5.82,,25.79,10.27,7.63,5.08,3.4,0,,0.09,,,,69.38,0,1.18,,,0.12,1.12,0.51,0.63,0.13,1.3,2.39,30,,0
201008121450_SW02_HoarseLane,25,2,12/08/2010 14:50,2,3,9.4,,,225,,8.16,,,,,,,,0,,,,,,,0,,,,,,,0,27.9,,,,,0,,16.56,12.04,23.47,6.45,2.92,0,,0.24,,,,149.93,0,0.79,,,0,0.72,0.6,1.93,0.16,0.79,3.41,62,,0
201008121510_SW21_CoolacMingay,44,2,12/08/2010 15:10,2,3,8.3,,,130,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,27.77,,,,,4.51,,12.7,5.43,5.07,3.85,0,0,,0,,,,61.98,0,0.78,,,0.09,0.55,0.27,0.42,0.1,0.87,1.34,21,,0
201008121540_SW21_CoolacMingay,44,2,12/08/2010 15:40,2,3,9.6,,,95,,7.7,,,,,,,,0,,,,,,,0,,,,,,,0,16.42,,,,,2.84,,12.7,5.43,5.07,3.85,1.93,0,,0.08,,,,57.65,0,0.46,,,0.06,0.55,0.27,0.42,0.1,0.52,1.34,44,,0
201008170000_SW28_CullingaCreekEast,51,2,17/08/2010 0:00,2,3,8.3,,,790,,8.5,,,,,,,,0,,,,,,,0,,,,,,,0,165.66,,,,,24.06,,89.6,69.45,51.67,9.68,14.14,0,,0.09,,,,338.03,0,4.67,,,0.5,3.9,3.47,4.25,0.25,5.17,11.87,39,,0
